id	lang	idiom	type	genlang_point	map	form	value1	value1_name	source	page	comment	contributor	example_as_in_source	example	translation_as_in_source	translation	gloss_as_in_source	gloss	example_source	example_page	example_comment
11	Akhvakh	Northern Akhvakh	dialect_toplevel	yes	yes	R-da-<CM>e	present	presence of the marker in numeral 20	magomedbekova1967	71		Maksim Melenchenko	q̣endodabe	q'endo-da-be		twenty		twenty-NUM-CM	magomedbekova1967	71	
12	Karata	Karata	dialect_toplevel	yes	yes	R-da	derived decimally (2x10)	presence of the marker in numeral 20	magomedbekova1971	94	Can be truncated to k'e-jaz-da.	Maksim Melenchenko	ḳejac̣ada	k'e-jac'a-da		twenty		two-ten-NUM	magomedbekova1971	94	-j- can appear as sandhi
13	Karata	Tukita	dialect_toplevel	no	yes	R	no numeral marker	presence of the marker in numeral 20	magomedbekova1971	95		Maksim Melenchenko	q̣endu	q'endu		twenty		twenty	magomedbekova1971	95	
14	Khwarshi	Kwantlada	village	yes	yes	R-no	present	presence of the marker in numeral 20	khalilova2009	169	Only after components 3, 5, and 20.	Maksim Melenchenko	quno	qu-no		twenty		twenty-NUM	khalilova2009	169	
15	Tsez	Kidero	dialect_nt1	yes	yes	R-no	absent	presence of the marker in numeral 20	bokarev1959	202		Maksim Melenchenko	хъу	χu		twenty		twenty	bokarev1959tsez	202	
16	Hinuq	Genukh	village	yes	yes	R-no	absent	presence of the marker in numeral 20	forker2013	394	20' qu has no marker on its own but attaches it when multiplied: q’o-no qu=no ‘40’ ([forker2013: 394] interprets this as the additive suffix).	Maksim Melenchenko	qu	qu		twenty		twenty	forker2013	394	
17	Hunzib	Hunzib	language	yes	yes	R-n(o)	present	presence of the marker in numeral 20	vandenberg1995	68		Maksim Melenchenko	qo.no	qo-no		twenty		twenty-NUM	vandenberg1995	69	
18	Bezhta	Bezhta	village	yes	yes	R-na	present	presence of the marker in numeral 20	comrieetal2015	293		Maksim Melenchenko	хъона	qχo-na		twenty		twenty-NUM	comrieetal2015	293	
19	Dargwa	Akusha	dialect_nt1	yes	yes	R-al	present	presence of the marker in numeral 20	abdullaev1954	135		Maksim Melenchenko	гъал	гъал		twenty		twenty-NUM	abdullaev1954	135	
20	Dargwa	Tanty	dialect_nt2	no	yes	R-al	present	presence of the marker in numeral 20	sumbatovalander2014	94	It is unclear whether this -al is a part of the root or a suffix.	Maksim Melenchenko	ʁal	ʁa.l		twenty		twenty-NUM	sumbatovalander2014	94	
21	Dargwa	Sanzhi	village	no	yes	R-al	present	presence of the marker in numeral 20	forker2020dargwa	130		Maksim Melenchenko	ʁa-jal	ʁa-jal		twenty		twenty-NUM	forker2020dargwa	130	
22	Dargwa	Itsari	dialect_nt1	no	yes	R	no numeral marker	presence of the marker in numeral 20	sumbatovamutalov2003	45		Maksim Melenchenko	Rā	ʁa:		twenty		twenty	sumbatovamutalov2003	45	
23	Dargwa	Mehweb	dialect_nt1	no	yes	R-al	present	presence of the marker in numeral 20	magometov1982	59		Maksim Melenchenko	ɣa-l	ɣa-l		twenty		twenty-NUM	magometov1982	59	
24	Dargwa	Kaitag	dialect_toplevel	no	yes	R-al	present	presence of the marker in numeral 20	temirbulatova2004	18		Maksim Melenchenko	гъайал	ʁa-jal		twenty		twenty-NUM	temirbulatova2004	18	
25	Dargwa	Chirag	dialect_toplevel	no	yes	R-al	present	presence of the marker in numeral 20	ganenkov2021draft_numerals	7		Maksim Melenchenko	ʁa-jal	ʁa-jal		twenty		twenty-NUM	ganenkov2021draft_numerals	7	
26	Dargwa	Kubachi	dialect_nt2	no	yes	R-al	absent	presence of the marker in numeral 20	magometov1963	134		Maksim Melenchenko	ɣa	ɣa		twenty		twenty	magometov1963	134	
27	Lak	Standard Lak	language	yes	yes	R-CM-a	present	presence of the marker in numeral 20	zhirkov1955	53		Maksim Melenchenko	кьу-в.а	q'u-w.a		twenty		twenty-CM.NUM	zhirkov1955	53	
28	Archi	Archib	village	yes	yes	R-a<CM>u	present	presence of the marker in numeral 20	kibrik1977	119		Maksim Melenchenko	кь:е-й<тI>у	q':e-j<t'>u		twenty		twenty-<CM>NUM	mikailov1967	75	
29	Lezgian	Standard Lezgian	language	yes	yes	R-d	present	presence of the marker in numeral 20	haspelmath1993	231		Maksim Melenchenko	q̃ad	qa-d		twenty		twenty-NUM	haspelmath1993	231	
30	Tabasaran	Standard Tabasaran	language	yes	yes	R-CM	present	presence of the marker in numeral 20	alekseevshixalieva2003	52		Maksim Melenchenko	къаб	qa-b		twenty		twenty-CM	alekseevshixalieva2003	52	
31	Rutul	Kina	village	yes	yes	R-CM	present	presence of the marker in numeral 20	mukhin2020	4		Maksim Melenchenko	ɢa-d	ɢa-d		twenty		twenty-CM	mukhin2020	4	
32	Tsakhur	Mishlesh	village	yes	yes	R=CM=le	present	presence of the marker in numeral 20	kibrik1999	155	Full form -CM-le is used only after components 1—10 and 20 when they are final or when counting millions. Just -CM is used in final positions in 11—19, 21—29, and in non-final positions in 2—10 and 20.	Maksim Melenchenko	ɢable	ɢa-b-le	20 (III кл.)	twenty		twenty-CM-NUM	kibrik1999	155	
33	Agul	Central	dialect_toplevel	yes	yes	R	no numeral marker	presence of the marker in numeral 20	magometov1970	95		Maksim Melenchenko	qᵊad	q:a-d		twenty		twenty-CM	magometov1970	95	This is a substantivized example
34	Agul	Burshag	village	no	yes	R	no numeral marker	presence of the marker in numeral 20	magometov1970	95		Maksim Melenchenko	qᵊar	q:a-r		twenty		twenty-CM	magometov1970	95	This is a substantivized example
35	Budukh	Budukh	village	yes	yes	R-CM	present	presence of the marker in numeral 20	talibov2007	146		Maksim Melenchenko	хъаб	qa-b		twenty		twenty-CM	talibov2007	146	
36	Kryz	Alik	dialect_toplevel	yes	yes	R-CM	present	presence of the marker in numeral 20	authier2009	106		Maksim Melenchenko	qaˤ-r	qaˤ-r		twenty		twenty-CM	authier2009	106	
37	Udi	Udi	language	yes	yes	R	no numeral marker	presence of the marker in numeral 20	mobili2010	328		Maksim Melenchenko	къа	q'a		twenty		twenty	mobili2010	328	
38	Khinalug	Khinalug	village	yes	yes	R	no numeral marker	presence of the marker in numeral 20	desheriev1959	131		Maksim Melenchenko	къан	q'ã		twenty		twenty	desheriev1959	131	
39	Chechen	Standard Chechen	language	yes	yes	R	no numeral marker	presence of the marker in numeral 20	nichols1994	52		Maksim Melenchenko	t’q’a	t’q’a		twenty		twenty	nichols1994	52	
40	Ingush	Standard Ingush	language	yes	yes	R	no numeral marker	presence of the marker in numeral 20	nichols2011	212		Maksim Melenchenko	t’q’o	t’q’o		twenty		twenty	nichols2011	212	
41	Tsova-Tush	Zemo-Alvani	village	yes	yes	R	no numeral marker	presence of the marker in numeral 20	holiskygagua1994	188		Maksim Melenchenko	t’q’a	t’q’a		twenty		twenty	holiskygagua1994	188	
42	Kumyk	Standard Kumyk	language	yes	yes	R	no numeral marker	presence of the marker in numeral 20	abdullaevaetal2014	230		Maksim Melenchenko	йигирма	jigirma		twenty		twenty	abdullaevaetal2014	230	
43	Azerbaijani	Standard Azerbaijani	language	yes	yes	R	no numeral marker	presence of the marker in numeral 20	shiralievsevortyan1971	71		Maksim Melenchenko	иjирми	ijirmi		twenty		twenty	shiralievsevortyan1971	71	
44	Nogai	Standard Nogai	language	yes	yes	R	no numeral marker	presence of the marker in numeral 20	baskakov1996	332		Maksim Melenchenko	йырма	jɯrma		twenty		twenty	baskakov1996	332	
45	Tat	Judeo-Tat	dialect_toplevel	yes	yes	R	no numeral marker	presence of the marker in numeral 20	authier2012	81		Maksim Melenchenko	bisd	bisd		twenty		twenty	authier2012	81	
46	Armenian	Eastern Armenian	dialect_toplevel	yes	yes	R	no numeral marker	presence of the marker in numeral 20	dum-tragut2009	118		Maksim Melenchenko	k’san	kʰsɑn		twenty		twenty	dum-tragut2009	118	
47	Georgian	Standard Georgian	language	yes	yes	R	no numeral marker	presence of the marker in numeral 20	hewitt1995	51		Maksim Melenchenko	oc-i	oc-i		twenty		twenty-NOM	hewitt1995	51	
